feature,global_spearman_to_target,weighted_spearman_within_group,abs_weighted_spearman,median_abs_group_spearman,groups_used,rows_used
Paddy yield(in Kg),0.7210137885835469,0.7195651544758078,0.7195651544758078,0.7275956829941834,6,2338
Seedrate(in Kg),0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
LP_Mainfield(in Tonnes),0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
Nursery area (Cents),0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
Hectares,0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
LP_nurseryarea(in Tonnes),0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
DAP_20days,0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
Urea_40Days,0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
Weed28D_thiobencarb,0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
Potassh_50Days,0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
Micronutrients_70Days,0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
Pest_60Day(in ml),0.5995641268362094,0.5988987147847683,0.5988987147847683,0.6076028072710093,6,2338
Trash(in bundles),0.5662049890183043,0.5667807663058727,0.5667807663058727,0.5733436186535691,6,2338
30DRain( in mm),-0.027709801134063766,,,,0,0
30DAI(in mm),0.027709801134063766,,,,0,0
30_50DRain( in mm),0.005830014793687751,,,,0,0
30_50DAI(in mm),-0.005830014793687751,,,,0,0
51_70DRain(in mm),0.005830014793687751,,,,0,0
51_70AI(in mm),-0.005830014793687751,,,,0,0
71_105DRain(in mm),0.005830014793687751,,,,0,0
71_105DAI(in mm),-0.005830014793687751,,,,0,0
Min temp_D1_D30,0.019513937049213538,,,,0,0
Max temp_D1_D30,-0.0295524128766314,,,,0,0
Min temp_D31_D60,0.003111582467194337,,,,0,0
Max temp_D31_D60,-0.011631233068682892,,,,0,0
Min temp_D61_D90,0.019513937049213538,,,,0,0
Max temp_D61_D90,0.02875148168194575,,,,0,0
Min temp_D91_D120,0.0025696565392968264,,,,0,0
Max temp_D91_D120,0.011631233068682892,,,,0,0
Inst Wind Speed_D1_D30(in Knots),0.03309552122490674,,,,0,0
Inst Wind Speed_D31_D60(in Knots),0.006746799133161418,,,,0,0
Inst Wind Speed_D61_D90(in Knots),0.032673247976039634,,,,0,0
Inst Wind Speed_D91_D120(in Knots),0.012662965452153426,,,,0,0
Relative Humidity_D1_D30,-0.010077231943401618,,,,0,0
Relative Humidity_D31_D60,-0.001993233965974032,,,,0,0
Relative Humidity_D61_D90,-0.010268903283697858,,,,0,0
Relative Humidity_D91_D120,0.0010579328376885675,,,,0,0
