feature_set,model,n_features,n_folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,fit_predict_seconds_mean
modifiable_plus_context,RandomForest,4,6,161.5683591203992,5.3503934707816345,204.9928580558869,8.487320260199196,0.4953452971154453,0.04599361092106199,0.6703930168333349
hybrid_with_review,RandomForest,14,6,161.5683591203992,5.3503934707816345,204.9928580558869,8.487320260199196,0.4953452971154453,0.04599361092106199,0.8438981665000634
modifiable_only,RandomForest,2,6,249.70662320220796,3.6094626252582107,289.0954615923706,3.5793143577633386,-0.0012846355682330317,0.0031889521934985055,0.46152131016666925
