feature_set,model,fold,held_out_agriblock,n_train,n_test,mae,rmse,r2,fit_predict_seconds
modifiable_only,RandomForest,1,Chinnasalem,1980,358,254.87030357451263,292.8736641842778,-0.0030483744298093196,0.5379900889997771
modifiable_only,RandomForest,2,Cuddalore,1974,364,247.5779695622132,287.52252349692446,-0.002417258612156248,0.4516508749998138
modifiable_only,RandomForest,3,Kallakurichi,1985,353,243.25951754668094,282.0476885724065,0.0030664129705076926,0.45806478700023945
modifiable_only,RandomForest,4,Kurinjipadi,1937,401,250.14646781350288,289.4461988354605,0.0005740412745509627,0.4513932129998466
modifiable_only,RandomForest,5,Panruti,1978,360,251.82473653471234,290.9964756766693,0.0008499486477956397,0.44348640199996225
modifiable_only,RandomForest,6,Sankarapuram,1836,502,250.56074418162567,291.686218788485,-0.006732583260286917,0.4265424950003762
modifiable_plus_context,RandomForest,1,Chinnasalem,1980,358,161.78878989241022,208.18704971496007,0.4931625954195684,0.711693811999794
modifiable_plus_context,RandomForest,2,Cuddalore,1974,364,171.8401573655307,222.20615692082725,0.4012893701476177,0.6610935409999001
modifiable_plus_context,RandomForest,3,Kallakurichi,1985,353,158.41382693799406,201.43837096828696,0.49148292631759305,0.6622671499999342
modifiable_plus_context,RandomForest,4,Kurinjipadi,1937,401,161.75821710280442,200.05320268715516,0.5225741375590838,0.6595252170000094
modifiable_plus_context,RandomForest,5,Panruti,1978,360,154.07077181218756,196.06056574025544,0.5464389420570759,0.6835898389999784
modifiable_plus_context,RandomForest,6,Sankarapuram,1836,502,161.53839161146837,202.01180230383645,0.5171238111917327,0.6441885420003928
hybrid_with_review,RandomForest,1,Chinnasalem,1980,358,161.78878989241022,208.18704971496007,0.4931625954195684,0.8425571109996781
hybrid_with_review,RandomForest,2,Cuddalore,1974,364,171.8401573655307,222.20615692082725,0.4012893701476177,0.8641977279999082
hybrid_with_review,RandomForest,3,Kallakurichi,1985,353,158.41382693799406,201.43837096828696,0.49148292631759305,0.8434274410001308
hybrid_with_review,RandomForest,4,Kurinjipadi,1937,401,161.75821710280442,200.05320268715516,0.5225741375590838,0.8634301780002716
hybrid_with_review,RandomForest,5,Panruti,1978,360,154.07077181218756,196.06056574025544,0.5464389420570759,0.8456548600001952
hybrid_with_review,RandomForest,6,Sankarapuram,1836,502,161.53839161146837,202.01180230383645,0.5171238111917327,0.804121681000197
