model,mae,rmse,r2
gradient_boosting,169.0262921446026,214.45747221493244,0.4826577220419226
random_forest,180.6262589051614,230.99331089098254,0.39980218072042895
ridge,187.86079116445737,236.42276543347,0.3712555108613321
