row_index,trial_id,actual_yield,predicted_yield,residual_pred_minus_actual
0,1,4358.51,3531.7973146754025,-826.7126853245977
18,1,4228.15,3786.067352317,-442.0826476829998
21,1,3392.7,3447.1121387198027,54.4121387198029
25,1,4590.47,3349.1555939092855,-1241.3144060907148
26,1,4704.35,3772.4698301731623,-931.880169826838
28,1,3838.4,3507.9531842631227,-330.4468157368774
33,1,3201.51,3491.310957223428,289.80095722342776
37,1,3102.53,3421.573817400319,319.04381740031886
40,1,3423.39,2607.289201312977,-816.1007986870227
42,1,3976.64,2561.880738927857,-1414.759261072143
50,1,4549.72,3112.8815091187107,-1436.8384908812895
56,1,3561.47,2717.6082972007916,-843.8617027992082
58,1,4308.08,2682.4007180647122,-1625.6792819352877
59,1,4278.8,3022.972139609571,-1255.8278603904291
62,10,454.6,1320.3443724861143,865.7443724861142
64,10,2597.64,2390.449257164852,-207.19074283514783
66,10,2981.0,2434.624192460171,-546.3758075398291
71,10,2529.57,1781.6288258484637,-747.9411741515364
75,10,1629.04,1727.0719396754082,98.03193967540824
85,10,2122.1,1993.3478357810784,-128.7521642189215
88,10,2512.25,1991.8130636617734,-520.4369363382266
90,10,2963.07,2474.8797573610536,-488.19024263894653
97,10,2780.4,1978.1530387945133,-802.2469612054867
101,1,3216.65,3016.9469381394047,-199.70306186059543
119,10,407.5,453.11509654516567,45.61509654516567
124,10,1367.43,906.8151568484618,-460.61484315153825
134,10,2131.83,1413.8122488024505,-718.0177511975494
150,8,4811.79,3956.09929356447,-855.69070643553
152,8,3979.29,4295.114857471774,315.8248574717736
158,9,838.0,3079.5876287735837,2241.5876287735837
159,9,852.5,2887.9925908221026,2035.4925908221026
164,8,2756.65,2676.7581307134496,-79.89186928655045
166,8,3553.06,2832.627559884124,-720.432440115876
169,8,2573.79,2906.142108463169,332.35210846316886
177,8,1701.63,2728.5441366951277,1026.9141366951276
178,8,2586.83,2804.9875749591693,218.15757495916932
183,9,928.0,2927.293060711716,1999.293060711716
185,9,770.0,2784.041890474499,2014.0418904744988
188,9,250.5,1876.360843633875,1625.860843633875
193,9,270.0,3099.981825903746,2829.981825903746
199,8,5223.17,4293.395876119753,-929.7741238802473
205,9,4080.5,2974.2075783817445,-1106.2924216182555
206,9,1522.0,3432.8195789194456,1910.8195789194456
220,9,1759.0,2277.341949266702,518.3419492667022
223,9,2058.0,2887.9925908221026,829.9925908221026
235,5,2603.76,3342.8917584214646,739.1317584214644
241,5,3140.98,3175.5341210107367,34.55412101073671
248,5,2662.48,3120.3365627474845,457.85656274748453
259,9,7402.0,3233.2602059620267,-4168.739794037973
260,5,5274.58,4234.336434478939,-1040.243565521061
264,5,3921.67,3756.6515438607776,-165.0184561392225
271,5,4547.69,4375.027072757318,-172.6629272426817
279,5,3774.85,4030.0532431149113,255.2032431149114
281,5,4146.03,4442.861485748114,296.8314857481146
287,5,4689.19,3879.1178866802725,-810.0721133197271
293,5,4791.17,4231.302047454031,-559.8679525459693
296,5,5148.29,4558.920785993979,-589.3692140060211
299,5,4659.0,4368.9180312379995,-290.08196876200054
307,5,4421.09,4012.2043883105944,-408.8856116894058
308,5,3288.83,4351.453588964989,1062.6235889649888
310,9,2765.0,3545.999914995911,780.9999149959108
330,9,1619.0,1876.360843633875,257.360843633875
333,9,3170.5,2927.293060711716,-243.20693928828405
337,5,4450.14,4155.278741158843,-294.861258841157
339,5,6116.7,3914.216082800469,-2202.483917199531
344,5,3762.76,3040.70554170485,-722.0544582951502
354,13,1665.89,3509.034753304772,1843.144753304772
356,13,4724.72,3406.539845711229,-1318.180154288771
362,13,1743.15,2562.201419400596,819.0514194005959
363,13,2290.21,3746.8764339534378,1456.6664339534377
365,13,2356.09,2823.0794299664453,466.9894299664452
368,13,3406.06,2956.2404998745915,-449.81950012540847
373,13,4588.78,3596.7730614646625,-992.0069385353372
390,13,2920.59,3328.1791259689317,407.5891259689315
392,13,2899.86,3354.9436716338496,455.08367163384946
404,13,1020.84,2029.7160985644855,1008.8760985644855
405,13,4105.4,2984.5747340866683,-1120.8252659133314
406,13,1960.92,3186.332206385587,1225.412206385587
416,4,3161.41,3135.9935431851404,-25.41645681485943
421,5,2411.47,2896.1474268626393,484.67742686263955
424,5,3523.92,3280.2690503475233,-243.6509496524768
426,5,3351.66,3142.666972684954,-208.99302731504577
428,5,3511.7,3214.45355665031,-297.2464433496898
436,5,3576.38,3232.456212043721,-343.9237879562793
438,5,2491.76,3236.2064955882934,744.4464955882931
440,5,4159.04,3214.45355665031,-944.58644334969
441,5,4662.72,3145.293183597594,-1517.426816402406
450,5,2518.25,3028.4817132539965,510.23171325399653
451,5,2150.26,3083.824088584256,933.5640885842558
456,5,3317.75,3096.853172503377,-220.8968274966228
459,4,3597.0,3398.3805345851983,-198.61946541480165
462,4,2704.33,3244.395318363291,540.0653183632912
463,4,3730.0,3140.322670661746,-589.6773293382539
465,4,2405.0,3228.314627013048,823.3146270130478
488,4,1836.67,3231.636954854103,1394.9669548541028
490,4,2832.0,3183.917086672917,351.91708667291687
491,4,2650.67,2764.1563059037144,113.48630590371431
492,4,4132.0,2817.9337326379846,-1314.0662673620154
495,4,2580.33,3055.160736388445,474.8307363884451
496,4,1190.67,2725.934482570607,1535.264482570607
506,4,1668.32,2355.487875161305,687.1678751613051
518,4,2255.0,3012.622419363137,757.6224193631369
520,4,2834.17,2759.999854388175,-74.17014561182486
526,4,1052.12,2882.8793062095992,1830.7593062095993
528,4,2191.38,2593.435145857763,402.0551458577629
535,5,3017.08,2961.4972838984536,-55.58271610154634
548,5,5737.79,3879.1178866802725,-1858.6721133197275
559,2,108.33,1854.5121746014365,1746.1821746014366
562,2,2983.67,2360.1017231513497,-623.5682768486504
576,11,116.3,308.2767404543365,191.9767404543365
582,2,2672.67,2694.822192348767,22.15219234876713
593,11,1278.51,1103.241670009588,-175.26832999041198
595,11,859.5,913.6335121376735,54.133512137673506
599,11,497.16,980.2017104168806,483.04171041688056
609,11,1042.6,980.2017104168806,-62.39828958311932
611,11,1842.69,1515.7658550539034,-326.9241449460967
612,11,1404.75,1105.3058507572512,-299.44414924274884
613,11,876.26,308.2767404543365,-567.9832595456635
616,11,422.56,676.1666322263741,253.60663222637407
619,11,508.65,763.7053093926306,255.05530939263065
620,11,886.57,701.5524821479698,-185.0175178520302
624,11,427.78,345.969833671938,-81.810166328062
627,2,2809.33,2676.931317290797,-132.39868270920306
630,2,2956.0,2338.743160211771,-617.2568397882292
634,11,606.12,676.5759510312303,70.45595103123026
646,2,3162.0,2308.188534785269,-853.811465214731
653,2,3084.67,2386.3741202306574,-698.2958797693427
654,12,2759.92,2461.570120331646,-298.3498796683539
658,12,2333.12,2057.6817670517707,-275.43823294822914
664,12,4253.67,2999.144966308459,-1254.525033691541
666,12,3037.67,2080.7952292220425,-956.8747707779576
672,12,3034.33,2756.501744672943,-277.8282553270569
678,12,3303.67,3159.2820655096893,-144.38793449031073
687,12,2118.31,2693.2616671493797,574.9516671493798
692,12,2579.24,2813.2229532683673,233.9829532683675
699,12,1070.74,2336.983828352624,1266.2438283526242
700,12,2366.46,2494.090376107032,127.63037610703213
707,12,4763.33,2635.8654109568556,-2127.4645890431443
713,12,1734.67,2128.814619050474,394.1446190504739
722,6,1416.0,1292.0898360478532,-123.91016395214683
726,6,1054.33,933.9733150381833,-120.35668496181665
730,6,688.67,920.107619406619,231.4376194066191
737,17,2016.67,2129.2433266401595,112.5733266401594
746,6,878.67,1443.7299039042719,565.0599039042719
751,6,1040.67,1206.283735870791,165.61373587079083
753,6,828.33,718.7461349756381,-109.5838650243619
761,6,622.33,876.995230905995,254.66523090599492
767,17,2237.17,1873.7513551371558,-363.4186448628443
770,17,2661.4,2167.6785924851984,-493.72140751480174
774,17,2021.93,2209.6884446910276,187.75844469102753
775,17,2175.0,1538.6149234242953,-636.3850765757047
780,17,1891.0,1686.7665578542671,-204.23344214573285
785,17,1525.67,1851.330757574283,325.660757574283
791,16,3337.67,3174.1794308303142,-163.49056916968584
804,16,3338.5,3371.776283477423,33.27628347742302
811,16,1953.0,2947.0282323916863,994.0282323916863
814,16,3918.0,3204.3128629288294,-713.6871370711706
819,16,815.5,2577.5737505534844,1762.0737505534844
821,16,1377.5,2967.1989846657143,1589.6989846657143
828,16,3521.5,2762.938503741741,-758.561496258259
