model,param_set,scenario,trial_id,n_test,mae,rmse,r2
ExtraTrees,3,modifiable_plus_context,2,7,856.1451638484012,1028.9944272683995,-0.0503359357321147
ExtraTrees,3,modifiable_plus_context,4,16,626.2497216111528,823.0338623798553,0.030104146352316175
ExtraTrees,3,modifiable_plus_context,5,30,655.3143475955515,810.4973658358202,0.3553749765119716
ExtraTrees,3,modifiable_plus_context,6,7,163.40552386653576,194.75316141646567,0.38215619857546157
ExtraTrees,3,modifiable_plus_context,8,8,502.70504868917345,594.9030395706612,0.7256064816439431
ExtraTrees,3,modifiable_plus_context,9,14,1459.6196517670007,1799.3309429746237,0.041269535339504504
CatBoost,1,modifiable_plus_context,1,15,753.2318937032542,886.0259476780534,-1.6947614484446718
CatBoost,1,modifiable_plus_context,10,12,502.496677978455,624.705209352994,0.472290613680974
CatBoost,1,modifiable_plus_context,11,13,254.92197416398682,300.79346188450813,0.5659377355955411
CatBoost,1,modifiable_plus_context,12,12,698.1083519028301,950.7662368757777,0.04630436914381442
CatBoost,1,modifiable_plus_context,13,12,985.3266798037463,1115.4407451114325,0.05077538848165608
CatBoost,1,modifiable_plus_context,16,7,981.5184914144237,1227.8250925491575,-0.20290395726417976
CatBoost,1,modifiable_plus_context,17,7,369.51050257591027,398.43494430353445,-0.5391308690564445
CatBoost,1,modifiable_plus_context,2,7,763.6783058438102,977.8195126899599,0.051538781077914764
CatBoost,1,modifiable_plus_context,4,16,668.0055402777338,827.9483908822901,0.018486612196124574
CatBoost,1,modifiable_plus_context,5,30,624.2025602804351,770.1452955220129,0.4179647623879126
CatBoost,1,modifiable_plus_context,6,7,175.47055874276975,215.80551515617145,0.2413617423140968
CatBoost,1,modifiable_plus_context,8,8,478.46840423622757,609.7657684475647,0.7117246205752495
CatBoost,1,modifiable_plus_context,9,14,1681.5845759962608,2004.6908761129405,-0.19006109658422998
CatBoost,2,modifiable_plus_context,1,15,762.7960025468168,887.0687505345886,-1.7011083474524362
CatBoost,2,modifiable_plus_context,10,12,496.2693244571344,638.0521936274159,0.4495004399395013
CatBoost,2,modifiable_plus_context,11,13,247.79644021760984,295.20144179540205,0.5819269275568519
CatBoost,2,modifiable_plus_context,12,12,717.8863512087919,965.0814958043469,0.01736943565795568
CatBoost,2,modifiable_plus_context,13,12,990.2959221810243,1118.1774161519747,0.046111936494540484
CatBoost,2,modifiable_plus_context,16,7,986.5466036125662,1223.0899624655115,-0.19364380520229796
CatBoost,2,modifiable_plus_context,17,7,363.7967608056789,396.7182954601462,-0.5258968119280514
CatBoost,2,modifiable_plus_context,2,7,779.1528327396512,971.387167081887,0.06397617646567122
CatBoost,2,modifiable_plus_context,4,16,698.1286578690301,872.1355964185221,-0.08907482803987543
CatBoost,2,modifiable_plus_context,5,30,637.3636392636311,788.2330828438187,0.39030411746531435
CatBoost,2,modifiable_plus_context,6,7,179.85941355314722,203.47184674692625,0.3255988300161823
CatBoost,2,modifiable_plus_context,8,8,498.9707705420205,623.4342390597202,0.6986558445613572
CatBoost,2,modifiable_plus_context,9,14,1683.952450683313,1990.6370156572157,-0.1734337674057307
CatBoost,3,modifiable_plus_context,1,15,770.2620571150255,889.1769190046437,-1.7139622733035242
CatBoost,3,modifiable_plus_context,10,12,513.0232180664798,641.4082144811825,0.44369418546076356
CatBoost,3,modifiable_plus_context,11,13,310.78291362127857,356.8213487179393,0.3891748527228358
CatBoost,3,modifiable_plus_context,12,12,737.5252243920266,981.2852197357389,-0.01590431790751423
CatBoost,3,modifiable_plus_context,13,12,1007.7522102050507,1119.1875024387762,0.044387801446022945
CatBoost,3,modifiable_plus_context,16,7,1023.338222641972,1241.0464395162385,-0.22894942366738968
CatBoost,3,modifiable_plus_context,17,7,431.16028555748164,520.4905727810058,-1.6265546582788981
CatBoost,3,modifiable_plus_context,2,7,788.2165218822075,981.3351994010804,0.044706258437666846
CatBoost,3,modifiable_plus_context,4,16,694.2088529109163,870.7837718371688,-0.08570127664990146
CatBoost,3,modifiable_plus_context,5,30,586.3477625851741,758.7278040211447,0.4350943174020856
CatBoost,3,modifiable_plus_context,6,7,234.6342704770828,268.4556213506171,-0.1739636938233431
CatBoost,3,modifiable_plus_context,8,8,532.0894847302168,662.6394046244382,0.6595636003763345
CatBoost,3,modifiable_plus_context,9,14,1678.3615838195024,1992.7912929302952,-0.1759749334049392
XGBoost,1,modifiable_plus_context,1,15,780.3216503906249,900.3751277716973,-1.7827514858597775
XGBoost,1,modifiable_plus_context,10,12,655.0673056030273,764.590179528723,0.20949977987849966
XGBoost,1,modifiable_plus_context,11,13,320.8567921682504,391.4402143981938,0.26490049764187185
XGBoost,1,modifiable_plus_context,12,12,665.5110746256511,915.8206033375326,0.1151225850090547
XGBoost,1,modifiable_plus_context,13,12,1003.3967154947915,1068.9520432493675,0.1282490593851513
XGBoost,1,modifiable_plus_context,16,7,1168.663794642857,1375.9513131220006,-0.5106507770117028
XGBoost,1,modifiable_plus_context,17,7,304.3680573381697,374.29893801907,-0.3583068688087998
XGBoost,1,modifiable_plus_context,2,7,666.8972851562501,874.7980291121579,0.2408671749327873
XGBoost,1,modifiable_plus_context,4,16,732.2130169677735,915.71156645579,-0.20062420480038012
XGBoost,1,modifiable_plus_context,5,30,578.9264762369792,757.1378097095381,0.43745947572099586
XGBoost,1,modifiable_plus_context,6,7,190.9380144391741,269.0120667449826,-0.17883543910997401
XGBoost,1,modifiable_plus_context,8,8,470.32854248046874,621.1306449138988,0.7008786680725543
XGBoost,1,modifiable_plus_context,9,14,1654.7332240513392,1992.8024124526482,-0.17598805702313935
XGBoost,2,modifiable_plus_context,1,15,771.1916087239582,885.9934202422443,-1.6945635940334975
XGBoost,2,modifiable_plus_context,10,12,677.2085663859049,793.3008822160552,0.14901787351548168
XGBoost,2,modifiable_plus_context,11,13,333.0769081233098,408.0382994584782,0.20123853405130598
XGBoost,2,modifiable_plus_context,12,12,635.1468371582031,889.7145302968972,0.1648515916076243
XGBoost,2,modifiable_plus_context,13,12,1025.0043408203123,1088.9790551858457,0.09527824217783087
XGBoost,2,modifiable_plus_context,16,7,1256.95697265625,1459.3384329686662,-0.6992997153073333
XGBoost,2,modifiable_plus_context,17,7,299.14016950334826,379.3719234689731,-0.39537545725312584
XGBoost,2,modifiable_plus_context,2,7,696.893605608259,892.7679135624035,0.20935901156986203
XGBoost,2,modifiable_plus_context,4,16,739.9395379638672,938.9504488085882,-0.26233621731839807
XGBoost,2,modifiable_plus_context,5,30,599.4081331380208,785.8678180402,0.393957677782801
XGBoost,2,modifiable_plus_context,6,7,199.09815325055803,278.52660460298796,-0.26369722315022615
XGBoost,2,modifiable_plus_context,8,8,473.39303100585937,612.6763349061871,0.7089660297194235
XGBoost,2,modifiable_plus_context,9,14,1642.001456124442,1967.8814948058127,-0.14675941458572717
XGBoost,3,modifiable_plus_context,1,15,713.3311067708332,867.6081674524205,-1.5838940858053547
XGBoost,3,modifiable_plus_context,10,12,659.7312943522135,752.8187829195772,0.23365300900895147
XGBoost,3,modifiable_plus_context,11,13,310.77277500446024,384.6666136075729,0.29012115193805754
XGBoost,3,modifiable_plus_context,12,12,649.4107938639323,885.792771518501,0.1721978403820621
XGBoost,3,modifiable_plus_context,13,12,1007.5414501953123,1108.3349143228656,0.06283079375452005
XGBoost,3,modifiable_plus_context,16,7,1003.5362137276786,1236.6395683628216,-0.22023708868069702
XGBoost,3,modifiable_plus_context,17,7,308.0314174107143,374.23167591426784,-0.3578187329329803
XGBoost,3,modifiable_plus_context,2,7,715.1046428571428,998.3453226921736,0.011301775748865484
XGBoost,3,modifiable_plus_context,4,16,714.0348095703125,951.6129470361353,-0.29661302261001987
XGBoost,3,modifiable_plus_context,5,30,640.7979680989582,898.2416860357092,0.2082458341364437
XGBoost,3,modifiable_plus_context,6,7,202.80504010881694,254.87970111216748,-0.05823022039224801
XGBoost,3,modifiable_plus_context,8,8,503.69036376953125,670.6874423783178,0.6512438920406874
XGBoost,3,modifiable_plus_context,9,14,1602.567347935268,1910.1250679370528,-0.08043349380196396
LightGBM,1,modifiable_plus_context,1,15,752.1122693981296,938.2432809402928,-2.021748884347296
LightGBM,1,modifiable_plus_context,10,12,772.0809887605734,842.9845381890066,0.03908763489286482
LightGBM,1,modifiable_plus_context,11,13,244.003749201434,285.05837307725426,0.6101631835370951
LightGBM,1,modifiable_plus_context,12,12,684.1932478789582,901.0650719684343,0.14340684012678795
LightGBM,1,modifiable_plus_context,13,12,993.1893178333936,1181.8384288926493,-0.06559505418230027
LightGBM,1,modifiable_plus_context,16,7,1057.379780391563,1219.9018010486059,-0.18742910406003266
LightGBM,1,modifiable_plus_context,17,7,453.1437335598808,531.8093561449253,-1.7420328556655629
LightGBM,1,modifiable_plus_context,2,7,885.6800289616295,1039.052003843011,-0.07096862377877655
LightGBM,1,modifiable_plus_context,4,16,615.273293635856,802.6153890794161,0.07763108158929544
LightGBM,1,modifiable_plus_context,5,30,660.7224712257638,815.436059576277,0.3474951111058949
LightGBM,1,modifiable_plus_context,6,7,181.23081727365712,243.10504021263205,0.03728533511866661
LightGBM,1,modifiable_plus_context,8,8,557.3301427455826,647.7969380292416,0.6746436746906004
LightGBM,1,modifiable_plus_context,9,14,1613.2063717658561,1855.1604679757565,-0.019148320560665733
LightGBM,2,modifiable_plus_context,1,15,751.2132653934189,938.3702690295844,-2.0225669069070324
LightGBM,2,modifiable_plus_context,10,12,773.3509676692571,844.6084322682138,0.035381937345585146
LightGBM,2,modifiable_plus_context,11,13,241.40651563148165,283.41919484961454,0.614633669716235
LightGBM,2,modifiable_plus_context,12,12,685.3417216835388,901.6003400154814,0.14238883788114343
LightGBM,2,modifiable_plus_context,13,12,993.1879942033893,1184.701358756313,-0.07076398239225745
LightGBM,2,modifiable_plus_context,16,7,1062.478387943004,1219.4132554856412,-0.18647821267201614
LightGBM,2,modifiable_plus_context,17,7,450.8878154547443,535.0834853570008,-1.775899902073625
LightGBM,2,modifiable_plus_context,2,7,893.6791275223151,1041.9909923879497,-0.0770357233928507
LightGBM,2,modifiable_plus_context,4,16,615.1041345562471,801.8642655407585,0.07935666231600136
LightGBM,2,modifiable_plus_context,5,30,659.310047490158,814.0988398688223,0.34963341968985473
LightGBM,2,modifiable_plus_context,6,7,178.46959651771414,239.23833508679147,0.06766668272119303
LightGBM,2,modifiable_plus_context,8,8,555.9896859354009,648.4507674989113,0.6739865709118915
LightGBM,2,modifiable_plus_context,9,14,1623.5767127688366,1861.082894995305,-0.025665779368162944
LightGBM,3,modifiable_plus_context,1,15,869.1906901968027,1004.1432999725937,-2.4611373514725776
LightGBM,3,modifiable_plus_context,10,12,730.6612304954377,813.5976607945586,0.10491568564954412
LightGBM,3,modifiable_plus_context,11,13,310.68179411677966,375.3803215143913,0.3239820131356276
LightGBM,3,modifiable_plus_context,12,12,725.3098571916963,890.4396071010129,0.16348982114127453
LightGBM,3,modifiable_plus_context,13,12,1034.3280509790272,1161.6676221960136,-0.029531765545981026
LightGBM,3,modifiable_plus_context,16,7,1029.1141509518682,1298.631413740915,-0.3456426783643429
LightGBM,3,modifiable_plus_context,17,7,331.7974308705562,374.0254531924712,-0.35632267612462054
LightGBM,3,modifiable_plus_context,2,7,834.4954688798324,1022.9518242225184,-0.038036300694806124
LightGBM,3,modifiable_plus_context,4,16,687.8765589388108,857.2149991001534,-0.052129548890786026
LightGBM,3,modifiable_plus_context,5,30,638.4673607149253,791.6880441458659,0.3849475998339207
LightGBM,3,modifiable_plus_context,6,7,170.91529609710955,193.6205122796083,0.3893218362219072
LightGBM,3,modifiable_plus_context,8,8,488.67197926708184,587.846725714446,0.7320771960575594
LightGBM,3,modifiable_plus_context,9,14,1954.506378632827,2230.9181569461853,-0.47381070571673356
