rule_id,country,seed,feature,smd_before,smd_after,abs_smd_before,abs_smd_after
R1,Benin,42,planting_date,0.352136971960688,-1.1971556735974391,0.352136971960688,1.1971556735974391
R1,Benin,42,soil_P,-0.8082602830743318,0.6934829465868247,0.8082602830743318,0.6934829465868247
R1,Benin,42,soil_pH,0.74798667532629,-0.12212371565757646,0.74798667532629,0.12212371565757646
R1,Benin,42,longitude,-0.4732071621653863,0.07149183799190457,0.4732071621653863,0.07149183799190457
R1,Benin,42,latitude,0.47320716216539155,-0.07149183799190396,0.47320716216539155,0.07149183799190396
R1,Benin,42,plot_area,-0.599299409176152,-0.03861621517187322,0.599299409176152,0.03861621517187322
R1,Benin,52,planting_date,0.352136971960688,-1.1971556735974391,0.352136971960688,1.1971556735974391
R1,Benin,52,soil_P,-0.8082602830743318,0.6934829465868247,0.8082602830743318,0.6934829465868247
R1,Benin,52,soil_pH,0.74798667532629,-0.12212371565757646,0.74798667532629,0.12212371565757646
R1,Benin,52,longitude,-0.4732071621653863,0.07149183799190457,0.4732071621653863,0.07149183799190457
R1,Benin,52,latitude,0.47320716216539155,-0.07149183799190396,0.47320716216539155,0.07149183799190396
R1,Benin,52,plot_area,-0.599299409176152,-0.03861621517187322,0.599299409176152,0.03861621517187322
R1,Benin,62,planting_date,0.352136971960688,-1.1971556735974391,0.352136971960688,1.1971556735974391
R1,Benin,62,soil_P,-0.8082602830743318,0.6934829465868247,0.8082602830743318,0.6934829465868247
R1,Benin,62,soil_pH,0.74798667532629,-0.12212371565757646,0.74798667532629,0.12212371565757646
R1,Benin,62,longitude,-0.4732071621653863,0.07149183799190457,0.4732071621653863,0.07149183799190457
R1,Benin,62,latitude,0.47320716216539155,-0.07149183799190396,0.47320716216539155,0.07149183799190396
R1,Benin,62,plot_area,-0.599299409176152,-0.03861621517187322,0.599299409176152,0.03861621517187322
R1,Nigeria,42,latitude,-2.317807156349565,-1.0736366504552848,2.317807156349565,1.0736366504552848
R1,Nigeria,42,longitude,-2.317807156349586,-1.0736366504552837,2.317807156349586,1.0736366504552837
R1,Nigeria,52,latitude,-2.317807156349565,-1.0688558260835128,2.317807156349565,1.0688558260835128
R1,Nigeria,52,longitude,-2.317807156349586,-1.0688558260835128,2.317807156349586,1.0688558260835128
R1,Nigeria,62,longitude,-2.317807156349586,-1.0510674220468732,2.317807156349586,1.0510674220468732
R1,Nigeria,62,latitude,-2.317807156349565,-1.051067422046859,2.317807156349565,1.051067422046859
R2,Nigeria,42,latitude,-2.281390229511477,-1.042494978629397,2.281390229511477,1.042494978629397
R2,Nigeria,42,longitude,-2.2813902295114667,-1.0424949786293862,2.2813902295114667,1.0424949786293862
R2,Nigeria,52,longitude,-2.2813902295114667,-1.0572770327549768,2.2813902295114667,1.0572770327549768
R2,Nigeria,52,latitude,-2.281390229511477,-1.0572770327549577,2.281390229511477,1.0572770327549577
R2,Nigeria,62,latitude,-2.281390229511477,-1.048184635938999,2.281390229511477,1.048184635938999
R2,Nigeria,62,longitude,-2.2813902295114667,-1.0481846359389937,2.2813902295114667,1.0481846359389937
R4,Benin,42,soil_P,2.4319519657149655,2.152639538582697,2.4319519657149655,2.152639538582697
R4,Benin,42,plot_area,1.205920109535733,1.183810345556596,1.205920109535733,1.183810345556596
R4,Benin,42,longitude,0.9496583114328115,0.9174415971241331,0.9496583114328115,0.9174415971241331
R4,Benin,42,latitude,-0.9496583114328152,-0.9174415971241247,0.9496583114328152,0.9174415971241247
R4,Benin,42,planting_date,-0.580326916557087,-0.519020968640813,0.580326916557087,0.519020968640813
R4,Benin,42,soil_pH,0.08761822376197288,0.055376084958698744,0.08761822376197288,0.055376084958698744
R4,Benin,52,soil_P,2.4319519657149655,2.1621735338446633,2.4319519657149655,2.1621735338446633
R4,Benin,52,plot_area,1.205920109535733,1.189428885531207,1.205920109535733,1.189428885531207
R4,Benin,52,latitude,-0.9496583114328152,-0.9174884846539912,0.9496583114328152,0.9174884846539912
R4,Benin,52,longitude,0.9496583114328115,0.9174884846539892,0.9496583114328115,0.9174884846539892
R4,Benin,52,planting_date,-0.580326916557087,-0.5285060358705361,0.580326916557087,0.5285060358705361
R4,Benin,52,soil_pH,0.08761822376197288,0.05833699008865065,0.08761822376197288,0.05833699008865065
R4,Benin,62,soil_P,2.4319519657149655,2.1494993434065868,2.4319519657149655,2.1494993434065868
R4,Benin,62,plot_area,1.205920109535733,1.183835625158695,1.205920109535733,1.183835625158695
R4,Benin,62,longitude,0.9496583114328115,0.916468404896232,0.9496583114328115,0.916468404896232
R4,Benin,62,latitude,-0.9496583114328152,-0.91646840489622,0.9496583114328152,0.91646840489622
R4,Benin,62,planting_date,-0.580326916557087,-0.5202951336170476,0.580326916557087,0.5202951336170476
R4,Benin,62,soil_pH,0.08761822376197288,0.056020458755913494,0.08761822376197288,0.056020458755913494
R2,Benin,42,planting_date,0.3608142808394626,2.04946364537589,0.3608142808394626,2.04946364537589
R2,Benin,42,soil_P,-0.33234515366087314,-1.5118464013973543,0.33234515366087314,1.5118464013973543
R2,Benin,42,soil_pH,0.2488520187679658,0.7630022051857636,0.2488520187679658,0.7630022051857636
R2,Benin,42,plot_area,-0.5886094349969564,-0.4113290945345304,0.5886094349969564,0.4113290945345304
R2,Benin,42,latitude,0.4481893038579512,0.2624523597183079,0.4481893038579512,0.2624523597183079
R2,Benin,42,longitude,-0.4481893038579458,-0.2624523597182956,0.4481893038579458,0.2624523597182956
R2,Benin,52,planting_date,0.3608142808394626,2.04946364537589,0.3608142808394626,2.04946364537589
