case_name,row_index,trial_id,actual_yield,predicted_yield,residual_pred_minus_actual,abs_residual
highest_pred,59,5,3288.83,4563.871831570206,1275.0418315702063,1275.0418315702063
lowest_pred,121,11,427.78,318.72924640383644,-109.05075359616353,109.05075359616353
largest_overpred,39,9,270.0,3193.475828645872,2923.475828645872,2923.475828645872
largest_underpred,48,9,7402.0,3361.8514758195147,-4040.1485241804853,4040.1485241804853
largest_abs_error,29,9,838.0,3516.7515897655667,2678.7515897655667,2678.7515897655667
