rule_id,seed,country,n_country_test,support_count,support_pct,actual_lift_vs_country_baseline,predicted_lift_vs_country_baseline
R6,62,Benin,107,0,0.0,,
R6,62,Burkina Faso,20,0,0.0,,
R6,62,Japan,7,0,0.0,,
R6,62,Nigeria,12,0,0.0,,
R6,62,Philippines,14,8,0.5714285714285714,264.9023214285712,215.81911362358528
R7,62,Benin,107,0,0.0,,
R7,62,Burkina Faso,20,0,0.0,,
R7,62,Japan,7,0,0.0,,
R7,62,Nigeria,12,0,0.0,,
R7,62,Philippines,14,6,0.42857142857142855,-353.20309523809556,-287.7588181647807
R8,62,Benin,107,0,0.0,,
R8,62,Burkina Faso,20,6,0.3,-972.6583333333334,-707.1997110410589
R8,62,Japan,7,0,0.0,,
R8,62,Nigeria,12,0,0.0,,
R8,62,Philippines,14,0,0.0,,
