country,n_rows,n_trials,n_treated,n_control,naive_effect_plusP_minusP
Benin,549,7,275,274,-34.366729396151186
Burkina Faso,105,2,72,33,1083.9727777777778
Gambia,74,1,37,37,538.3248648648646
Japan,39,1,13,26,-427.75192307692305
Nigeria,147,2,73,74,179.79641243983724
Philippines,74,2,37,37,559.3981081081081
Tanzania,194,3,97,97,1191.5077319587626
