feature,global_eta_squared,within_group_eta_squared_weighted
location,0.3880993195178412,
country,0.37379587705257444,
variety,0.12948340590557816,0.6371657078512446
season,0.017915186226677853,0.12263134957799057
treatment,0.005034099253957769,0.18334164579960172
dataset_id,,
crop,,
yield_part,,
