country,n_rows,n_trials,yield_mean,plus_share
Benin,549,7,3068.0259198542803,0.5009107468123861
Burkina Faso,105,2,1445.7022857142856,0.6857142857142857
Japan,39,1,3093.23641025641,0.3333333333333333
Nigeria,63,1,2449.056984126984,0.49206349206349204
Philippines,74,2,1483.3714864864864,0.5
